Date,Ï€,y,u
4/1/1955,0,3069.91,4.7
7/1/1955,0.49937578,3111.379,4
10/1/1955,0.124223602,3130.068,4.3
1/1/1956,-0.248138958,3117.922,4
4/1/1956,0.870646766,3143.694,4
7/1/1956,1.233045623,3140.874,4.4
10/1/1956,0.609013398,3192.57,3.9
1/1/1957,0.605326877,3213.011,4.2
4/1/1957,1.083032491,3205.97,3.9
7/1/1957,1.071428571,3237.386,4.2
10/1/1957,0.23557126,3203.894,4.5
1/1/1958,1.057579318,3120.724,5.8
4/1/1958,0.813953488,3141.224,7.4
7/1/1958,0.115340254,3213.884,7.5
10/1/1958,0,3289.032,6.7
1/1/1959,0,3352.129,6
4/1/1959,0.34562212,3427.667,5.2
7/1/1959,0.688863375,3430.057,5.1
10/1/1959,0.570125428,3439.832,5.7
1/1/1960,-0.113378685,3517.181,5.2
4/1/1960,0.56753689,3498.246,5.2
7/1/1960,0.225733634,3515.385,5.5
10/1/1960,0.675675676,3470.278,6.1
1/1/1961,0,3493.703,6.6
4/1/1961,0,3553.021,7
7/1/1961,0.559284116,3621.252,7
10/1/1961,0.111234705,3692.289,6.5
1/1/1962,0.222222222,3758.147,5.8
4/1/1962,0.44345898,3792.149,5.6
7/1/1962,0.441501104,3838.776,5.4
10/1/1962,0.21978022,3851.421,5.4
1/1/1963,0.109649123,3893.482,5.7
4/1/1963,0.328587076,3937.183,5.7
7/1/1963,0.545851528,4023.755,5.6
10/1/1963,0.434310532,4050.147,5.5
1/1/1964,0.216216216,4135.553,5.6
4/1/1964,0.107874865,4180.592,5.3
7/1/1964,0.431034483,4245.918,4.9
10/1/1964,0.321888412,4259.046,5.1
1/1/1965,0.213903743,4362.111,4.9
4/1/1965,0.747065101,4417.225,4.8
7/1/1965,0.423728814,4515.427,4.4
10/1/1965,0.421940928,4619.458,4.2
1/1/1966,0.735294118,4731.888,4
4/1/1966,1.147028154,4748.046,3.8
7/1/1966,0.927835052,4788.254,3.8
10/1/1966,0.817160368,4827.537,3.7
1/1/1967,0.101317123,4870.299,3.9
4/1/1967,0.809716599,4873.287,3.8
7/1/1967,0.903614458,4919.392,3.8
10/1/1967,0.895522388,4956.477,4
1/1/1968,1.183431953,5057.553,3.7
4/1/1968,0.974658869,5142.033,3.5
7/1/1968,1.351351351,5181.859,3.7
10/1/1968,1.142857143,5202.212,3.4
1/1/1969,1.224105461,5283.597,3.4
4/1/1969,1.674418605,5299.625,3.4
7/1/1969,1.463860933,5334.6,3.5
10/1/1969,1.442741208,5308.556,3.7
1/1/1970,1.333333333,5300.652,3.9
4/1/1970,1.666666667,5308.164,4.6
7/1/1970,1.121656601,5357.077,5
10/1/1970,1.365187713,5299.672,5.5
1/1/1971,0.757575758,5443.619,5.9
4/1/1971,1.086048454,5473.059,5.9
7/1/1971,1.074380165,5518.072,6
10/1/1971,0.490596893,5531.032,5.8
1/1/1972,0.732302685,5632.649,5.8
4/1/1972,0.807754443,5760.47,5.7
7/1/1972,0.961538462,5814.854,5.6
10/1/1972,0.952380952,5912.22,5.6
1/1/1973,1.257861635,6058.544,4.9
4/1/1973,2.251552795,6124.506,5
7/1/1973,2.201974184,6092.301,4.8
10/1/1973,2.303120357,6150.131,4.6
1/1/1974,2.832244009,6097.258,5.1
4/1/1974,2.824858757,6111.751,5.1
7/1/1974,3.021978022,6053.978,5.5
10/1/1974,3,6030.464,6
1/1/1975,1.812297735,5957.035,8.1
4/1/1975,1.52574698,5999.61,8.8
7/1/1975,2.12899186,6102.326,8.6
10/1/1975,1.59411404,6184.53,8.4
1/1/1976,0.965600483,6323.649,7.9
4/1/1976,1.255230126,6370.025,7.7
7/1/1976,1.593860685,6404.895,7.8
10/1/1976,1.162115049,6451.177,7.7
1/1/1977,1.723147616,6527.703,7.5
4/1/1977,2.20214568,6654.466,7.2
7/1/1977,1.436464088,6774.457,6.9
10/1/1977,1.089324619,6774.592,6.8
1/1/1978,1.724137931,6796.26,6.4
4/1/1978,2.542372881,7058.92,6.1
7/1/1978,2.376033058,7129.915,6.2
10/1/1978,2.018163471,7225.75,5.8
1/1/1979,2.472799209,7238.727,5.9
4/1/1979,3.474903475,7246.454,5.8
7/1/1979,3.311567164,7300.281,5.7
10/1/1979,2.844243792,7318.535,6
1/1/1980,3.950834065,7341.557,6.3
4/1/1980,3.673986486,7190.289,6.9
7/1/1980,1.83299389,7181.743,7.8
10/1/1980,2.64,7315.677,7.5
1/1/1981,2.650038971,7459.022,7.5
4/1/1981,2.3158694,7403.745,7.2
7/1/1981,2.820037106,7492.405,7.2
10/1/1981,1.443522194,7410.768,7.9
1/1/1982,0.818214159,7295.631,8.6
4/1/1982,1.517290049,7328.912,9.3
7/1/1982,1.876955162,7300.896,9.8
10/1/1982,0.238826339,7303.817,10.4
1/1/1983,-0.068073519,7400.066,10.4
4/1/1983,1.260217984,7568.456,10.2
7/1/1983,1.177262025,7719.746,9.4
10/1/1983,0.897606383,7880.794,8.8
1/1/1984,1.120263591,8034.847,8
4/1/1984,1.075268817,8173.67,7.7
7/1/1984,1.096067054,8252.465,7.5
10/1/1984,0.733418367,8320.199,7.4
1/1/1985,0.633111744,8400.82,7.3
4/1/1985,1.226800881,8474.787,7.3
7/1/1985,0.714729646,8604.22,7.4
10/1/1985,0.89478556,8668.188,7.1
1/1/1986,0.214067278,8749.127,6.7
4/1/1986,-0.213610009,8788.524,7.1
7/1/1986,0.733944954,8872.601,7
10/1/1986,0.546448087,8920.193,7
1/1/1987,1.117149758,8986.367,6.6
4/1/1987,1.313825022,9083.256,6.3
7/1/1987,1.149425287,9162.024,6.1
10/1/1987,0.844988345,9319.332,6
1/1/1988,0.606761052,9367.502,5.7
4/1/1988,1.263641585,9490.594,5.4
7/1/1988,1.33295519,9546.206,5.4
10/1/1988,1.03554436,9673.405,5.4
1/1/1989,1.108033241,9771.725,5.4
4/1/1989,1.643835616,9846.293,5.2
7/1/1989,0.808625337,9919.228,5.2
10/1/1989,0.962566845,9938.767,5.3
1/1/1990,1.721398305,10047.386,5.4
4/1/1990,1.015360583,10083.855,5.4
7/1/1990,1.726804124,10090.569,5.5
10/1/1990,1.621484672,9998.704,5.9
1/1/1991,0.822737472,9951.916,6.4
4/1/1991,0.59347181,10029.51,6.7
7/1/1991,0.786627335,10080.195,6.8
10/1/1991,0.756097561,10115.329,7
1/1/1992,0.702009199,10236.435,7.3
4/1/1992,0.817307692,10347.429,7.4
7/1/1992,0.78683834,10449.673,7.7
10/1/1992,0.709723208,10558.648,7.3
1/1/1993,0.845665962,10576.275,7.3
4/1/1993,0.768693222,10637.847,7.1
7/1/1993,0.392972723,10688.606,6.9
10/1/1993,0.690766751,10833.987,6.8
1/1/1994,0.640292705,10939.116,6.6
4/1/1994,0.636219041,11087.361,6.4
7/1/1994,0.880559946,11152.176,6.1
10/1/1994,0.470008953,11279.932,5.8
1/1/1995,0.824237024,11319.951,5.6
4/1/1995,0.883782589,11353.721,5.8
7/1/1995,0.438020149,11450.31,5.7
10/1/1995,0.47972089,11528.067,5.5
1/1/1996,0.911458333,11614.418,5.6
4/1/1996,0.989247312,11808.14,5.6
7/1/1996,0.532367973,11914.063,5.5
10/1/1996,0.720186401,12037.775,5.2
1/1/1997,0.672975815,12115.472,5.3
4/1/1997,0.396908293,12317.221,5.1
7/1/1997,0.395339159,12471.01,4.9
10/1/1997,0.393782383,12577.495,4.7
1/1/1998,0.268373245,12703.742,4.6
4/1/1998,0.535309862,12821.339,4.3
7/1/1998,0.389105058,12982.752,4.5
10/1/1998,0.346797226,13191.67,4.5
1/1/1999,0.386257369,13315.597,4.3
4/1/1999,0.972053463,13426.748,4.3
7/1/1999,0.621740874,13604.771,4.3
10/1/1999,0.617899143,13827.98,4.1
1/1/2000,0.990491284,13878.147,4
4/1/2000,1.059238917,14130.908,3.8
7/1/2000,0.795807453,14145.312,4
10/1/2000,0.539187368,14229.765,3.9
1/1/2001,0.957670944,14183.12,4.2
4/1/2001,1.043445267,14271.694,4.4
7/1/2001,0.131430717,14214.516,4.6
10/1/2001,-0.281267579,14253.574,5.3
1/1/2002,0.357277172,14372.785,5.7
4/1/2002,1.086752857,14460.848,5.9
7/1/2002,0.426320667,14519.633,5.8
10/1/2002,0.313768918,14537.58,5.7
1/1/2003,1.011959522,14614.141,5.8
4/1/2003,0.364298725,14743.567,6
7/1/2003,0.490018149,14988.782,6.2
10/1/2003,0.018060321,15162.76,6
1/1/2004,0.902853016,15248.68,5.7
4/1/2004,1.431639227,15366.85,5.6
7/1/2004,0.352858151,15512.619,5.5
10/1/2004,0.597749648,15670.88,5.5
1/1/2005,0.629150647,15844.727,5.3
4/1/2005,1.337269885,15922.782,5.2
7/1/2005,1.216795201,16047.587,5
10/1/2005,0.507958009,16136.734,5
1/1/2006,0.539083558,16353.835,4.7
4/1/2006,1.692359249,16396.151,4.7
7/1/2006,0.56022409,16420.738,4.7
10/1/2006,-0.85203998,16561.866,4.4
1/1/2007,1.019170385,16611.69,4.6
4/1/2007,1.917329089,16713.314,4.5
7/1/2007,0.275928711,16809.587,4.7
10/1/2007,0.711214555,16915.191,4.7
1/1/2008,1.136773642,16843.003,5
4/1/2008,2.195344656,16943.291,5
7/1/2008,1.163055346,16854.295,5.8
10/1/2008,-2.828529429,16485.35,6.5
1/1/2009,-0.497633075,16298.262,7.8
4/1/2009,1.060302337,16269.145,9
7/1/2009,0.679071982,16326.281,9.5
10/1/2009,0.201188589,16502.754,10
1/1/2010,0.401415054,16582.71,9.8
4/1/2010,0.475072152,16743.162,9.9
7/1/2010,0.093250498,16872.266,9.4
10/1/2010,0.294916321,16960.864,9.4
1/1/2011,1.264822375,16920.632,9.1
4/1/2011,1.743310892,17035.114,9.1
7/1/2011,0.408517984,17031.313,9
10/1/2011,-0.15205577,17222.583,8.8
1/1/2012,0.795638656,17367.01,8.3
4/1/2012,0.827531738,17444.525,8.2
7/1/2012,0.219328148,17469.65,8.2
10/1/2012,0.03604047,17489.852,7.8
1/1/2013,0.590329876,17662.4,8
4/1/2013,0.540980612,17709.671,7.6
7/1/2013,0.377979341,17860.45,7.3
10/1/2013,-0.279067646,18016.147,7.2
1/1/2014,0.76122253,17953.974,6.6
4/1/2014,1.180867814,18185.911,6.2
7/1/2014,0.114675844,18406.941,6.2
10/1/2014,-0.803351757,18500.031,5.7
1/1/2015,-0.543199002,18666.621,5.7
4/1/2015,1.205595644,18782.243,5.4
7/1/2015,0.262677374,18857.418,5.2
10/1/2015,-0.449843688,18892.206,5
1/1/2016,0.064634066,19001.69,4.8
4/1/2016,1.172350557,19062.709,5.1
7/1/2016,0.332681941,19197.938,4.8
10/1/2016,0.222574197,19304.352,4.9
1/1/2017,0.790736963,19398.343,4.7
4/1/2017,0.543517706,19506.949,4.4
7/1/2017,0.396615691,19660.766,4.3
10/1/2017,0.370629636,19882.352,4.2
1/1/2018,0.88611838,20044.077,4
4/1/2018,1.033075567,20150.476,4
7/1/2018,0.327267568,20276.154,3.8
10/1/2018,-0.057494736,20304.874,3.8
1/1/2019,0.335116034,20431.641,4
4/1/2019,1.198513227,20602.275,3.7
7/1/2019,0.274166008,20843.322,3.7
10/1/2019,0.213017997,20985.448,3.6
1/1/2020,0.419427422,20693.238,3.6
4/1/2020,-0.540035417,19056.617,14.8
7/1/2020,1.131485375,20548.793,10.2
10/1/2020,0.22995025,20771.691,6.9
1/1/2021,1.0731144,21058.379,6.4
4/1/2021,2.339788694,21389.005,6.1
7/1/2021,1.600975314,21571.421,5.4
10/1/2021,1.517761427,21960.388,4.5
1/1/2022,2.283464472,21903.85,4
4/1/2022,2.973832898,21919.222,3.7
7/1/2022,1.314662146,22066.784,3.5
10/1/2022,0.367161275,22249.459,3.6
1/1/2023,1.044906557,22403.435,3.5
4/1/2023,1.192332172,22539.418,3.4
7/1/2023,0.866426547,22780.933,3.5
10/1/2023,0.104507738,22960.6,3.9
1/1/2024,1.042575543,23053.545,3.7
